Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn);Middeltemperatur (døgn);Gjennomsnittlig skydekke (døgn);Høyeste middelvind (døgn)
Venabu;SN13420;01.08.1980;0;0;13,8;5,7;2,6
Venabu;SN13420;02.08.1980;0;0,5;13,1;7,3;4,6
Venabu;SN13420;03.08.1980;0;26,3;12,2;6;2,6
Venabu;SN13420;04.08.1980;0;1,9;13,3;7;4,6
Venabu;SN13420;05.08.1980;0;0,4;11,8;7,3;4,6
Venabu;SN13420;06.08.1980;0;12,7;11,1;6,3;9,8
Venabu;SN13420;07.08.1980;0;0,7;6,9;3,3;9,8
Venabu;SN13420;08.08.1980;0;0;5,1;7;9,8
Venabu;SN13420;09.08.1980;0;0;6,2;7;6,7
Venabu;SN13420;10.08.1980;0;0;7,2;3,3;6,7
Venabu;SN13420;11.08.1980;0;0;9,4;1,3;6,7
Venabu;SN13420;12.08.1980;0;0;9,6;7;2,6
Venabu;SN13420;13.08.1980;0;0;11,9;5;1
Venabu;SN13420;14.08.1980;0;0;11,8;6,3;4,6
Venabu;SN13420;15.08.1980;0;0;13,2;3,3;2,6
Venabu;SN13420;16.08.1980;0;0,5;13,5;5;2,6
Venabu;SN13420;17.08.1980;0;0;11,3;7;4,6
Venabu;SN13420;18.08.1980;0;0,5;10;8;4,6
Venabu;SN13420;19.08.1980;0;14,9;8,8;7,7;4,6
Venabu;SN13420;20.08.1980;0;14,3;7,8;6,7;2,6
Venabu;SN13420;21.08.1980;0;2,6;8,7;6;6,7
Venabu;SN13420;22.08.1980;0;0,1;8,4;7,3;6,7
Venabu;SN13420;23.08.1980;0;2,8;6,5;6,3;6,7
Venabu;SN13420;24.08.1980;0;0;6,5;7,3;4,6
Venabu;SN13420;25.08.1980;0;0;6;7;2,6
Venabu;SN13420;26.08.1980;0;6,6;6,2;6,7;2,6
Venabu;SN13420;27.08.1980;0;0;5,8;8;2,6
Venabu;SN13420;28.08.1980;0;17,5;7;5,7;2,6
Venabu;SN13420;29.08.1980;0;1,4;6;4,3;1
Venabu;SN13420;30.08.1980;0;0,3;6,5;5,7;1
Venabu;SN13420;31.08.1980;0;0,7;6,9;4,3;2,6
Venabu;SN13420;01.09.1980;0;0,7;7,1;4;2,6
Venabu;SN13420;02.09.1980;0;1;7,6;7,3;4,6
Venabu;SN13420;03.09.1980;0;2,9;9;4,7;2,6
Venabu;SN13420;04.09.1980;0;8,2;9,7;4,3;4,6
Venabu;SN13420;05.09.1980;0;0,2;7,7;8;2,6
Venabu;SN13420;06.09.1980;0;1,5;8,9;7;2,6
Venabu;SN13420;07.09.1980;0;0,5;9,4;7,7;9,8
Venabu;SN13420;08.09.1980;0;0;8,4;7;9,8
Venabu;SN13420;09.09.1980;0;5,7;8,7;5,3;9,8
Venabu;SN13420;10.09.1980;0;0,2;4,2;4;4,6
Venabu;SN13420;11.09.1980;0;0;3,7;1,7;4,6
Venabu;SN13420;12.09.1980;0;0;2,2;7,7;2,6
Venabu;SN13420;13.09.1980;0;8,6;5,9;7,7;1
Venabu;SN13420;14.09.1980;0;5,9;6,3;6,3;6,7
Venabu;SN13420;15.09.1980;0;0,4;3,7;2,3;6,7
Venabu;SN13420;16.09.1980;0;0;1,7;6,3;4,6
Venabu;SN13420;17.09.1980;0;4,7;4,9;8;6,7
Venabu;SN13420;18.09.1980;0;22,3;7,1;6;4,6
Venabu;SN13420;19.09.1980;0;0,1;5,2;7,7;2,6
Venabu;SN13420;20.09.1980;0;3,3;6,4;8;1
Venabu;SN13420;21.09.1980;0;0,2;9;4,7;1
Venabu;SN13420;22.09.1980;0;0,3;7,3;2,3;1
Venabu;SN13420;23.09.1980;0;0,3;5,7;8;1
Venabu;SN13420;24.09.1980;0;0,1;5,6;6;4,6
Venabu;SN13420;25.09.1980;0;7,5;5,7;6,7;9,8
Venabu;SN13420;26.09.1980;0;0,6;2,9;1,7;1
Venabu;SN13420;27.09.1980;0;0;3,7;6,3;4,6
Venabu;SN13420;28.09.1980;0;0,1;4,1;8;4,6
Venabu;SN13420;29.09.1980;0;1,7;2,9;8;6,7
Venabu;SN13420;30.09.1980;0;2,8;3,9;4,7;9,8
Venabu;SN13420;01.10.1980;0;0;0;7,3;4,6
Venabu;SN13420;02.10.1980;0;2,6;2,2;4,3;6,7
Venabu;SN13420;03.10.1980;0;0;1,3;5;6,7
Venabu;SN13420;04.10.1980;0;0,2;2,7;8;4,6
Venabu;SN13420;05.10.1980;0;14,9;2,2;7;4,6
Venabu;SN13420;06.10.1980;0;4,5;2,4;8;4,6
Venabu;SN13420;07.10.1980;0;20,7;2,5;8;4,6
Venabu;SN13420;08.10.1980;0;20,8;2,1;8;6,7
Venabu;SN13420;09.10.1980;0;2;1,2;8;6,7
Venabu;SN13420;10.10.1980;0;3,6;1,9;8;4,6
Venabu;SN13420;11.10.1980;0;3,5;1,2;5;2,6
Venabu;SN13420;12.10.1980;0;0;2,2;7,3;2,6
Venabu;SN13420;13.10.1980;0;0;0,2;8;1
Venabu;SN13420;14.10.1980;0;0;-0,4;5;4,6
Venabu;SN13420;15.10.1980;0;0;-2,3;5;4,6
Venabu;SN13420;16.10.1980;0;0;-1,7;6,3;4,6
Venabu;SN13420;17.10.1980;1;1;-5;8;2,6
Venabu;SN13420;18.10.1980;15;10,8;-2,4;8;6,7
Venabu;SN13420;19.10.1980;20;10,9;-0,5;8;6,7
Venabu;SN13420;20.10.1980;20;3,2;-4;3,3;6,7
Venabu;SN13420;21.10.1980;20;0;-5;1,7;6,7
Venabu;SN13420;22.10.1980;20;0;-7,3;0,3;4,6
Venabu;SN13420;23.10.1980;19;0;-8,9;5,3;2,6
Venabu;SN13420;24.10.1980;18;0;-4,9;8;4,6
Venabu;SN13420;25.10.1980;18;3,4;-6,4;7;12,3
Venabu;SN13420;26.10.1980;18;0;-10,1;3;2,6
Venabu;SN13420;27.10.1980;18;0;-6,3;8;1
Venabu;SN13420;28.10.1980;25;13,3;-0,7;4,7;1
Venabu;SN13420;29.10.1980;20;5,4;-1,9;8;2,6
Venabu;SN13420;30.10.1980;20;0,8;-10;0,3;2,6
Venabu;SN13420;31.10.1980;20;0;-13,4;0,3;1
Venabu;SN13420;01.10.1981;0;4,1;8,2;8;6,7
Venabu;SN13420;02.10.1981;0;4,4;7,2;8;6,7
Venabu;SN13420;03.10.1981;0;0,9;6,4;7,7;4,6
Venabu;SN13420;04.10.1981;0;2,1;3,2;4,7;4,6
Venabu;SN13420;05.10.1981;0;0,9;4,4;6,7;4,6
Venabu;SN13420;06.10.1981;0;1,3;0,2;1,7;2,6
